"qty_biological_replicates","proportion_of_DEGs","dispersion_value","SDND","contains_preprocessing"
2,10,1.79847847234019,100,"no"
3,10,1.80320242645816,100,"no"
4,10,1.82254728181288,100,"no"
5,10,1.89063570490726,100,"no"
6,10,1.89216602736181,100,"no"
7,10,1.89130568308182,100,"no"
8,10,1.87470368583509,100,"no"
9,10,1.8577670928432,100,"no"
10,10,1.84730868105972,100,"no"
15,10,1.83084249453179,100,"no"
2,10,2.15640544644745,300,"no"
3,10,2.18347450270868,300,"no"
4,10,2.18723109541215,300,"no"
5,10,2.20774772436398,300,"no"
6,10,2.20086954875614,300,"no"
7,10,2.19597680104766,300,"no"
8,10,2.18271660940696,300,"no"
9,10,2.16463608917968,300,"no"
10,10,2.14757149012352,300,"no"
15,10,2.12462323577474,300,"no"
2,10,2.41307398504767,600,"no"
3,10,2.42305430365295,600,"no"
4,10,2.42531161411724,600,"no"
5,10,2.42882802074468,600,"no"
6,10,2.41860421323532,600,"no"
7,10,2.40656539997671,600,"no"
8,10,2.39158992198149,600,"no"
9,10,2.37127404062376,600,"no"
10,10,2.35369058242038,600,"no"
15,10,2.32765386278898,600,"no"
2,10,2.56917211827841,900,"no"
3,10,2.59359453407995,900,"no"
4,10,2.58671605978504,900,"no"
5,10,2.58208167127223,900,"no"
6,10,2.56449719793281,900,"no"
7,10,2.55241331207019,900,"no"
8,10,2.52820106274107,900,"no"
9,10,2.51513566122843,900,"no"
10,10,2.48956017691497,900,"no"
15,10,2.4616503966276,900,"no"
2,10,2.7117951265016,1200,"no"
3,10,2.7308108735903,1200,"no"
4,10,2.71659431102075,1200,"no"
5,10,2.68999938075358,1200,"no"
6,10,2.67171695545938,1200,"no"
7,10,2.65598007235833,1200,"no"
8,10,2.63664742729661,1200,"no"
9,10,2.61440254832619,1200,"no"
10,10,2.59765992698485,1200,"no"
15,10,2.56097338508619,1200,"no"
2,10,2.98832489196333,2000,"no"
3,10,2.98802347767551,2000,"no"
4,10,2.93675580437008,2000,"no"
5,10,2.91545042272672,2000,"no"
6,10,2.88807507233712,2000,"no"
7,10,2.86371647141622,2000,"no"
8,10,2.84262960665632,2000,"no"
9,10,2.81579833279012,2000,"no"
10,10,2.7973314285479,2000,"no"
15,10,2.75115447371078,2000,"no"
2,10,3.23505071223904,3000,"no"
3,10,3.1941321398358,3000,"no"
4,10,3.14700384901013,3000,"no"
5,10,3.11335776988337,3000,"no"
6,10,3.07276565021621,3000,"no"
7,10,3.04009668694618,3000,"no"
8,10,3.01444017085741,3000,"no"
9,10,2.9940403072766,3000,"no"
10,10,2.96310427288942,3000,"no"
15,10,2.91385909768946,3000,"no"
2,20,1.94801244999587,100,"no"
3,20,1.93943548847868,100,"no"
4,20,1.96556666280361,100,"no"
5,20,2.04309190901675,100,"no"
6,20,2.03858386272451,100,"no"
7,20,2.02813716289092,100,"no"
8,20,2.01943641541584,100,"no"
9,20,1.99406861443029,100,"no"
10,20,1.99181872340583,100,"no"
15,20,1.96485081446265,100,"no"
2,20,2.31796655735765,300,"no"
3,20,2.32874612746966,300,"no"
4,20,2.3348756216634,300,"no"
5,20,2.36533502809985,300,"no"
6,20,2.35257168417712,300,"no"
7,20,2.33497399336418,300,"no"
8,20,2.3219158871933,300,"no"
9,20,2.30672926109511,300,"no"
10,20,2.29649928002754,300,"no"
15,20,2.26287124985019,300,"no"
2,20,2.57155523921217,600,"no"
3,20,2.58039453976316,600,"no"
4,20,2.57570336128515,600,"no"
5,20,2.59036616277909,600,"no"
6,20,2.56457036666989,600,"no"
7,20,2.54304103394022,600,"no"
8,20,2.52848645546608,600,"no"
9,20,2.50998578009407,600,"no"
10,20,2.5001784772625,600,"no"
15,20,2.45695710305542,600,"no"
2,20,2.72743594101505,900,"no"
3,20,2.73358391510561,900,"no"
4,20,2.72173996266764,900,"no"
5,20,2.71338760155621,900,"no"
6,20,2.69330375331076,900,"no"
7,20,2.66724849637509,900,"no"
8,20,2.6467146807715,900,"no"
9,20,2.6323613477346,900,"no"
10,20,2.62171453320318,900,"no"
15,20,2.5721434778932,900,"no"
2,20,2.84146779205662,1200,"no"
3,20,2.84588100945576,1200,"no"
4,20,2.82851287295113,1200,"no"
5,20,2.81689531407951,1200,"no"
6,20,2.78922561420118,1200,"no"
7,20,2.76242265919409,1200,"no"
8,20,2.74036631394503,1200,"no"
9,20,2.72541616972694,1200,"no"
10,20,2.7113673182711,1200,"no"
15,20,2.66497402093988,1200,"no"
2,20,3.08353550258148,2000,"no"
3,20,3.06777674471051,2000,"no"
4,20,3.02656857125297,2000,"no"
5,20,3.00773727597235,2000,"no"
6,20,2.97367195882769,2000,"no"
7,20,2.94389383489603,2000,"no"
8,20,2.91686279686748,2000,"no"
9,20,2.90605369220494,2000,"no"
10,20,2.88072926439747,2000,"no"
15,20,2.8305068992964,2000,"no"
2,20,3.27903472894724,3000,"no"
3,20,3.24633030490116,3000,"no"
4,20,3.20349364540932,3000,"no"
5,20,3.16973092910058,3000,"no"
6,20,3.13784660836348,3000,"no"
7,20,3.09172833929826,3000,"no"
8,20,3.06371580413209,3000,"no"
9,20,3.04551807031465,3000,"no"
10,20,3.03396260460913,3000,"no"
15,20,2.97106753210675,3000,"no"
2,30,2.01377067845801,100,"no"
3,30,1.9869408710246,100,"no"
4,30,2.01037761466408,100,"no"
5,30,2.09552855324201,100,"no"
6,30,2.08391983069614,100,"no"
7,30,2.08057423733622,100,"no"
8,30,2.06626405723347,100,"no"
9,30,2.04555926342852,100,"no"
10,30,2.03933482395346,100,"no"
15,30,2.01863635107714,100,"no"
2,30,2.37729472511961,300,"no"
3,30,2.38109119674457,300,"no"
4,30,2.39425683227643,300,"no"
5,30,2.42056344754736,300,"no"
6,30,2.40365631272768,300,"no"
7,30,2.38465292625572,300,"no"
8,30,2.36721260620557,300,"no"
9,30,2.35882960888807,300,"no"
10,30,2.34215477803541,300,"no"
15,30,2.31148190128256,300,"no"
2,30,2.63544439986018,600,"no"
3,30,2.62484617912012,600,"no"
4,30,2.61931876938597,600,"no"
5,30,2.62918613603695,600,"no"
6,30,2.60392144914915,600,"no"
7,30,2.58377727139405,600,"no"
8,30,2.56678028468971,600,"no"
9,30,2.54836278540752,600,"no"
10,30,2.53929551422538,600,"no"
15,30,2.50127338769761,600,"no"
2,30,2.7643653200516,900,"no"
3,30,2.7722230681617,900,"no"
4,30,2.75665186071769,900,"no"
5,30,2.75080832505877,900,"no"
6,30,2.72407699389695,900,"no"
7,30,2.70647095160002,900,"no"
8,30,2.68574694332546,900,"no"
9,30,2.66974769965073,900,"no"
10,30,2.65711839135113,900,"no"
15,30,2.61512297309155,900,"no"
2,30,2.86398073014316,1200,"no"
3,30,2.87517237677806,1200,"no"
4,30,2.86967952542278,1200,"no"
5,30,2.84617579552681,1200,"no"
6,30,2.81558789337472,1200,"no"
7,30,2.79551310284136,1200,"no"
8,30,2.77009082293565,1200,"no"
9,30,2.75126758638678,1200,"no"
10,30,2.74191130792201,1200,"no"
15,30,2.69674594925177,1200,"no"
2,30,3.08887275871962,3000,"no"
3,30,3.08084766302596,3000,"no"
4,30,3.04395337692294,3000,"no"
5,30,3.01099159934132,3000,"no"
6,30,2.98377829233096,3000,"no"
7,30,2.95423910146681,3000,"no"
8,30,2.94119302403388,3000,"no"
9,30,2.91186279224494,3000,"no"
10,30,2.90074980225846,3000,"no"
15,30,2.8548665216999,3000,"no"
2,30,3.25876395411783,3000,"no"
3,30,3.25014119442185,3000,"no"
4,30,3.19223867517178,3000,"no"
5,30,3.1751322872925,3000,"no"
6,30,3.13157885881051,3000,"no"
7,30,3.08888047295841,3000,"no"
8,30,3.06516448227598,3000,"no"
9,30,3.04438221810155,3000,"no"
10,30,3.02803472380249,3000,"no"
15,30,2.97243198893191,3000,"no"
2,10,0.405527131990447,100,"yes"
3,10,0.608621105789588,100,"yes"
4,10,0.765093559070325,100,"yes"
5,10,0.672614854800668,100,"yes"
6,10,0.62797884735985,100,"yes"
7,10,0.610254670697228,100,"yes"
8,10,0.597867004518501,100,"yes"
9,10,0.588735677682613,100,"yes"
10,10,0.574003316237409,100,"yes"
15,10,0.550090937532853,100,"yes"
2,10,0.501668042841109,300,"yes"
3,10,0.866061802862263,300,"yes"
4,10,1.44938481606617,300,"yes"
5,10,1.76750196231751,300,"yes"
6,10,1.93333957321133,300,"yes"
7,10,2.0143473035487,300,"yes"
8,10,2.04458348924559,300,"yes"
9,10,2.04792435234198,300,"yes"
10,10,2.04889738822169,300,"yes"
15,10,2.06814614404486,300,"yes"
2,10,0.558301626134236,600,"yes"
3,10,1.01162616067876,600,"yes"
4,10,1.64100462556322,600,"yes"
5,10,1.99894960568005,600,"yes"
6,10,2.20714911380891,600,"yes"
7,10,2.30686043975739,600,"yes"
8,10,2.3443987221436,600,"yes"
9,10,2.34835777224333,600,"yes"
10,10,2.34488423789463,600,"yes"
15,10,2.32971919947117,600,"yes"
2,10,0.595307737882305,900,"yes"
3,10,1.11524146315572,900,"yes"
4,10,1.76598026771688,900,"yes"
5,10,2.13708788623227,900,"yes"
6,10,2.34512893019179,900,"yes"
7,10,2.45071362739906,900,"yes"
8,10,2.48726808023529,900,"yes"
9,10,2.49873824830605,900,"yes"
10,10,2.48510763364346,900,"yes"
15,10,2.46532191952897,900,"yes"
2,10,0.619490015078245,1200,"yes"
3,10,1.18854582692882,1200,"yes"
4,10,1.85784912985016,1200,"yes"
5,10,2.23822137036957,1200,"yes"
6,10,2.44653710604101,1200,"yes"
7,10,2.55349255870897,1200,"yes"
8,10,2.59301215109919,1200,"yes"
9,10,2.60089290771095,1200,"yes"
10,10,2.59498261626581,1200,"yes"
15,10,2.5670528461121,1200,"yes"
2,10,0.675855392343097,2000,"yes"
3,10,1.32796956225698,2000,"yes"
4,10,2.05172725250311,2000,"yes"
5,10,2.44085149786532,2000,"yes"
6,10,2.66000478470821,2000,"yes"
7,10,2.76155358747668,2000,"yes"
8,10,2.80812745800568,2000,"yes"
9,10,2.80764874654324,2000,"yes"
10,10,2.7997294279508,2000,"yes"
15,10,2.76361516396207,2000,"yes"
2,10,0.711525005034819,3000,"yes"
3,10,1.45177068926958,3000,"yes"
4,10,2.20948274066112,3000,"yes"
5,10,2.61650803899656,3000,"yes"
6,10,2.83374634629555,3000,"yes"
7,10,2.93461612648165,3000,"yes"
8,10,2.97634472806648,3000,"yes"
9,10,2.98180198239288,3000,"yes"
10,10,2.96606254800017,3000,"yes"
15,10,2.9239540633225,3000,"yes"
2,20,0.419515992590199,100,"yes"
3,20,0.65967534564295,100,"yes"
4,20,0.834335299798255,100,"yes"
5,20,0.745793528429803,100,"yes"
6,20,0.700313736194014,100,"yes"
7,20,0.668021011390633,100,"yes"
8,20,0.649088580175413,100,"yes"
9,20,0.64258771453822,100,"yes"
10,20,0.627879024741988,100,"yes"
15,20,0.595001069712728,100,"yes"
2,20,0.520613821778407,300,"yes"
3,20,0.942203060840122,300,"yes"
4,20,1.56335406085198,300,"yes"
5,20,1.8939557212976,300,"yes"
6,20,2.06767974482024,300,"yes"
7,20,2.14261785552382,300,"yes"
8,20,2.1721958342572,300,"yes"
9,20,2.18285432318824,300,"yes"
10,20,2.18888935319371,300,"yes"
15,20,2.20148913111008,300,"yes"
2,20,0.567163201706691,600,"yes"
3,20,1.07780784397204,600,"yes"
4,20,1.73889642922628,600,"yes"
5,20,2.12039272298839,600,"yes"
6,20,2.32929935381148,600,"yes"
7,20,2.43373316490993,600,"yes"
8,20,2.47625733805589,600,"yes"
9,20,2.4873885182483,600,"yes"
10,20,2.48788243887698,600,"yes"
15,20,2.45699075355605,600,"yes"
2,20,0.602745757850327,900,"yes"
3,20,1.15491853919211,900,"yes"
4,20,1.8554164171521,900,"yes"
5,20,2.24679756432833,900,"yes"
6,20,2.45986672967421,900,"yes"
7,20,2.56082741317235,900,"yes"
8,20,2.60249840092711,900,"yes"
9,20,2.61547572457864,900,"yes"
10,20,2.61470428048726,900,"yes"
15,20,2.57313628899507,900,"yes"
2,20,0.624186270477679,1200,"yes"
3,20,1.23617007176967,1200,"yes"
4,20,1.94264786960795,1200,"yes"
5,20,2.33819326425815,1200,"yes"
6,20,2.55647180134098,1200,"yes"
7,20,2.65331145594414,1200,"yes"
8,20,2.69148416437963,1200,"yes"
9,20,2.70609923281618,1200,"yes"
10,20,2.70337446831245,1200,"yes"
15,20,2.66464221663797,1200,"yes"
2,20,0.673417011457358,2000,"yes"
3,20,1.34659459014504,2000,"yes"
4,20,2.09489332567393,2000,"yes"
5,20,2.50595920108001,2000,"yes"
6,20,2.71614463974024,2000,"yes"
7,20,2.82280529549782,2000,"yes"
8,20,2.8631289402654,2000,"yes"
9,20,2.88111547852061,2000,"yes"
10,20,2.86658149649045,2000,"yes"
15,20,2.82584268287459,2000,"yes"
2,20,0.701635119807405,3000,"yes"
3,20,1.4477434002889,3000,"yes"
4,20,2.22987589752417,3000,"yes"
5,20,2.65039150446985,3000,"yes"
6,20,2.86744964446582,3000,"yes"
7,20,2.96405615095956,3000,"yes"
8,20,3.00825375794068,3000,"yes"
9,20,3.0160239028551,3000,"yes"
10,20,3.0185787939949,3000,"yes"
15,20,2.96476240289878,3000,"yes"
2,30,0.443288630104707,100,"yes"
3,30,0.713205358867668,100,"yes"
4,30,0.900764732810476,100,"yes"
5,30,0.804432780419368,100,"yes"
6,30,0.761280173708736,100,"yes"
7,30,0.731868483639279,100,"yes"
8,30,0.698648497492813,100,"yes"
9,30,0.702274438444517,100,"yes"
10,30,0.691661576506429,100,"yes"
15,30,0.64986895336315,100,"yes"
2,30,0.538079111040595,300,"yes"
3,30,1.0060999079728,300,"yes"
4,30,1.62315297917831,300,"yes"
5,30,1.95228587969525,300,"yes"
6,30,2.11813095901374,300,"yes"
7,30,2.20036974282501,300,"yes"
8,30,2.22218590374917,300,"yes"
9,30,2.2350031972731,300,"yes"
10,30,2.23103478157791,300,"yes"
15,30,2.24922343849487,300,"yes"
2,30,0.559902814032391,600,"yes"
3,30,1.12222804535313,600,"yes"
4,30,1.79963658955386,600,"yes"
5,30,2.16661427710114,600,"yes"
6,30,2.37239767322054,600,"yes"
7,30,2.47115220148304,600,"yes"
8,30,2.51215342602778,600,"yes"
9,30,2.51806285057647,600,"yes"
10,30,2.52232498190454,600,"yes"
15,30,2.49525703738427,600,"yes"
2,30,0.609176405307736,900,"yes"
3,30,1.19669023820001,900,"yes"
4,30,1.88987699112556,900,"yes"
5,30,2.27661152449622,900,"yes"
6,30,2.49003738131491,900,"yes"
7,30,2.59164201119357,900,"yes"
8,30,2.63203848052201,900,"yes"
9,30,2.64429581382283,900,"yes"
10,30,2.64257897176752,900,"yes"
15,30,2.60991871156607,900,"yes"
2,30,0.627546609179547,1200,"yes"
3,30,1.24263954990147,1200,"yes"
4,30,1.96886812550772,1200,"yes"
5,30,2.36028509079563,1200,"yes"
6,30,2.57186951268366,1200,"yes"
7,30,2.67922314098663,1200,"yes"
8,30,2.71505478665984,1200,"yes"
9,30,2.72476673197243,1200,"yes"
10,30,2.72711264796446,1200,"yes"
15,30,2.68940653221164,1200,"yes"
2,30,0.664607155867439,2000,"yes"
3,30,1.3579371516725,2000,"yes"
4,30,2.11233406337564,2000,"yes"
5,30,2.50955995590571,2000,"yes"
6,30,2.73262013417833,2000,"yes"
7,30,2.82758239054909,2000,"yes"
8,30,2.87433271068248,2000,"yes"
9,30,2.87799424493488,2000,"yes"
10,30,2.87815197969943,2000,"yes"
15,30,2.84205346348363,2000,"yes"
2,30,0.686874139744589,3000,"yes"
3,30,1.439675201954,3000,"yes"
4,30,2.22580577890416,3000,"yes"
5,30,2.63642686803175,3000,"yes"
6,30,2.85535478398471,3000,"yes"
7,30,2.95635662563705,3000,"yes"
8,30,2.99765737815486,3000,"yes"
9,30,3.00738946083184,3000,"yes"
10,30,3.00116602178208,3000,"yes"
15,30,2.95540293526005,3000,"yes"
